ISO,income_tier,pop_M
CHN,Upper-middle,203.6
JPN,High,121.4
IND,Lower-middle,86.7
USA,High,67.5
PHL,Lower-middle,67
BGD,Lower-middle,39.1
VNM,Lower-middle,37.4
MEX,Upper-middle,18.4
TWN,High,17.3
KOR,High,16.7
MMR,Lower-middle,11.8
CUB,Upper-middle,10.6
MDG,Low,10
DOM,Upper-middle,9.7
HKG,High,8.1
HTI,Low,6.9
PRI,High,3.4
JAM,Upper-middle,2.8
CAN,High,2.5
MOZ,Low,2.4
PAK,Lower-middle,2.2
MUS,Upper-middle,1.3
THA,Upper-middle,1.3
PRK,Lower-middle,1.1
REU,High,0.9
FJI,Upper-middle,0.7
HND,Lower-middle,0.7
IRL,High,0.7
LAO,Lower-middle,0.7
AUS,High,0.5
NIC,Lower-middle,0.5
GBR,High,0.4
GLP,High,0.4
MTQ,High,0.4
BHS,High,0.3
BLZ,Upper-middle,0.3
BRB,High,0.3
NCL,High,0.3
VUT,Lower-middle,0.3
IDN,Lower-middle,0.2
LKA,Lower-middle,0.2
WSM,Lower-middle,0.2
ASM,Upper-middle,0.1
ATG,High,0.1
COM,Low,0.1
DMA,Upper-middle,0.1
GRD,Upper-middle,0.1
GTM,Lower-middle,0.1
KHM,Lower-middle,0.1
LCA,Upper-middle,0.1
OMN,High,0.1
RUS,Upper-middle,0.1
TTO,High,0.1
VCT,Upper-middle,0.1
VIR,High,0.1
YEM,Lower-middle,0.1
AIA,High,0
ANT,High,0
FRO,High,0
IMN,High,0
ISL,High,0
KNA,High,0
MSR,High,0
MYT,High,0
NZL,High,0
PNG,Lower-middle,0
SLB,Lower-middle,0
SPM,High,0
TCA,High,0
TON,Upper-middle,0
VEN,Upper-middle,0
ZWE,Low,0
