_deriv,_term,_predict,_at,_atopt,_margin,_se_margin,_statistic,_pvalue,_ci_lb,_ci_ub,_at1,_at2,_at3,_at4,_at5,_at6
,_cons,,1,windspeed_predicted=(70(5)145),.0080963066,.11556465,.070058674,.94462782,-.22825995,.24445255,70,.o,.o,.o,.o,.o
,_cons,,2,windspeed_predicted=(70(5)145),-.055315912,.091680564,-.60335481,.55096298,-.24282372,.1321919,75,.o,.o,.o,.o,.o
,_cons,,3,windspeed_predicted=(70(5)145),-.10777553,.078133292,-1.3793803,.17832266,-.26757607,.052024998,80,.o,.o,.o,.o,.o
,_cons,,4,windspeed_predicted=(70(5)145),-.14928256,.074703716,-1.9983283,.055134304,-.3020688,.0035037047,85,.o,.o,.o,.o,.o
,_cons,,5,windspeed_predicted=(70(5)145),-.17983697,.078097411,-2.3027265,.028663026,-.33956411,-.020109836,90,.o,.o,.o,.o,.o
,_cons,,6,windspeed_predicted=(70(5)145),-.1994388,.084060974,-2.3725493,.024514565,-.37136281,-.0275148,95,.o,.o,.o,.o,.o
,_cons,,7,windspeed_predicted=(70(5)145),-.20808803,.089592993,-2.3225927,.027422206,-.39132625,-.02484978,100,.o,.o,.o,.o,.o
,_cons,,8,windspeed_predicted=(70(5)145),-.20578465,.093089662,-2.2106068,.035106774,-.3961744,-.015394903,105,.o,.o,.o,.o,.o
,_cons,,9,windspeed_predicted=(70(5)145),-.19252867,.093842849,-2.0516074,.049335431,-.38445884,-.00059849658,110,.o,.o,.o,.o,.o
,_cons,,10,windspeed_predicted=(70(5)145),-.16832009,.091719963,-1.8351521,.076759368,-.35590848,.019268299,115,.o,.o,.o,.o,.o
,_cons,,11,windspeed_predicted=(70(5)145),-.13315892,.087100774,-1.5287914,.1371516,-.31130001,.044982165,120,.o,.o,.o,.o,.o
,_cons,,12,windspeed_predicted=(70(5)145),-.087045148,.081058487,-1.0738561,.29174161,-.25282836,.078738071,125,.o,.o,.o,.o,.o
,_cons,,13,windspeed_predicted=(70(5)145),-.029978774,.075800724,-.39549458,.6953724,-.18500866,.12505111,130,.o,.o,.o,.o,.o
,_cons,,14,windspeed_predicted=(70(5)145),.038040198,.075054206,.5068363,.61610198,-.11546289,.19154328,135,.o,.o,.o,.o,.o
,_cons,,15,windspeed_predicted=(70(5)145),.11701177,.083022788,1.4093933,.16935293,-.052788902,.28681245,140,.o,.o,.o,.o,.o
,_cons,,16,windspeed_predicted=(70(5)145),.20693594,.10160821,2.0366066,.05091111,-.00087618706,.41474807,145,.o,.o,.o,.o,.o
