grp,ws,est,lo,hi
Less vulnerable,70,-1.857769324010957,-7.156693841634379,3.441155193612465
Less vulnerable,75,-2.92066780701521,-7.502215201780919,1.660879587750498
Less vulnerable,80,-3.854517778967382,-8.124039995069893,.4150044371351287
Less vulnerable,85,-4.659319239867455,-8.923502881717797,-.395135598017113
Less vulnerable,90,-5.335072189715437,-9.754135226568765,-.9160091528621095
Less vulnerable,95,-5.881776628511322,-10.48849859029192,-1.275054666730725
Less vulnerable,100,-6.299432556255116,-11.04362405794912,-1.555241054561114
Less vulnerable,105,-6.588039972946821,-11.37464453418025,-1.801435411713391
Less vulnerable,110,-6.747598878586413,-11.46415799781006,-2.031039759362769
Less vulnerable,115,-6.778109273173951,-11.3174957267723,-2.238722819575601
Less vulnerable,120,-6.679571156709348,-10.96580517849917,-2.39333713491953
Less vulnerable,125,-6.451984529192697,-10.47783261683001,-2.426136441555381
Less vulnerable,130,-6.09534939062392,-9.976260440778621,-2.214438340469219
Less vulnerable,135,-5.609665741003088,-9.6304403671021,-1.588891114904077
Less vulnerable,140,-4.994933580330125,-9.581869851075901,-.4079973095843492
Less vulnerable,145,-4.251152908605096,-9.862113573112065,1.359807755901872
Average,70,.4480797279612525,-3.317835943919392,4.213995399841897
Average,75,-1.655497105512357,-5.171075330864142,1.860081119839428
Average,80,-3.502387313564132,-6.967284440310523,-.0374901868177409
Average,85,-5.092590896194057,-8.628630301435246,-1.556551490952868
Average,90,-6.426107853402148,-10.08075474800604,-2.771460958798256
Average,95,-7.502938185188388,-11.26953657248717,-3.736339797889602
Average,100,-8.323081891552793,-12.16226856736773,-4.483895215737855
Average,105,-8.886538972495362,-12.74350870415977,-5.02956924083095
Average,110,-9.19330942801607,-13.01188552434979,-5.374733331682353
Average,115,-9.243393258114967,-12.97958544985005,-5.507201066379888
Average,120,-9.036790462791988,-12.67451960267997,-5.399061322904007
Average,125,-8.573501042047202,-12.14387306072464,-5.003129023369761
Average,130,-7.853524995880552,-11.45449267644007,-4.252557315321035
Average,135,-6.876862324292095,-10.68157960051,-3.072145048074191
Average,140,-5.643513027281746,-9.883679831860313,-1.403346222703179
Average,145,-4.153477104849603,-9.083113098965976,.7761588892667692
More vulnerable,70,2.75392877993347,-1.430364206346641,6.93822176621358
More vulnerable,75,-.3903264040094975,-4.153204586433742,3.372551778414747
More vulnerable,80,-3.150256848160883,-6.910233994706699,.6097202983849335
More vulnerable,85,-5.525862552520667,-9.530342000236729,-1.521383104804606
More vulnerable,90,-7.517143517088859,-11.84282032216048,-3.191466712017236
More vulnerable,95,-9.124099741865454,-13.7376851999978,-4.51051428373311
More vulnerable,100,-10.34673122685048,-15.15731577064096,-5.536146683060004
More vulnerable,105,-11.18503797204391,-16.07685344239506,-6.293222501692755
More vulnerable,110,-11.63901997744573,-16.49311317622902,-6.784926778662443
More vulnerable,115,-11.70867724305598,-16.42199671100636,-6.995357775105592
More vulnerable,120,-11.39400976887463,-15.90287134185912,-6.885148195890136
More vulnerable,125,-10.69501755490171,-15.00894822772151,-6.38108688208191
More vulnerable,130,-9.611700601137191,-13.85719481965495,-5.366206382619435
More vulnerable,135,-8.144058907581101,-12.5943142810669,-3.693803534095299
More vulnerable,140,-6.292092474233367,-11.33667851630678,-1.247506432159958
More vulnerable,145,-4.05580130109411,-10.11497350664262,2.003370904454401
