est,lo,hi,ws,grp
60.923737,50.486595,71.360878,70,Severe damage
56.643688,48.258224,65.029152,75,Severe damage
52.981262,43.810539,62.151985,80,Severe damage
49.936459,38.615547,61.25737,85,Severe damage
47.509277,33.940044,61.078514,90,Severe damage
45.699718,30.293036,61.106403,95,Severe damage
44.507782,27.863756,61.15181,100,Severe damage
43.933468,26.729176,61.137764,105,Severe damage
43.976776,26.920887,61.032669,110,Severe damage
44.637707,28.446014,60.829403,115,Severe damage
45.91626,31.289389,60.543133,120,Severe damage
47.812435,35.397247,60.227627,125,Severe damage
50.326233,40.609726,60.042744,130,Severe damage
53.457657,46.373428,60.541882,135,Severe damage
57.206699,50.831829,63.581566,140,Severe damage
61.573364,52.155376,70.991348,145,Severe damage
63.147617,56.221161,70.074074,70,No severe damage
61.57,56.722195,66.417801,75,No severe damage
60.223152,56.577156,63.869152,80,No severe damage
59.107079,55.589294,62.624866,85,No severe damage
58.221779,54.145821,62.297733,90,No severe damage
57.567249,52.800522,62.333977,95,No severe damage
57.143494,51.827751,62.459236,100,No severe damage
56.950508,51.327156,62.573864,105,No severe damage
56.988297,51.325787,62.65081,110,No severe damage
57.256859,51.809376,62.704346,115,No severe damage
57.756191,52.717098,62.795288,120,No severe damage
58.486298,53.903908,63.068687,125,No severe damage
59.447178,55.074593,63.819763,130,No severe damage
60.638828,55.819279,65.458374,135,No severe damage
62.061253,55.926044,68.196457,140,No severe damage
63.714447,55.497425,71.931465,145,No severe damage
