session,ws,y
1,141.7555670639557,26
2,87.39160855390672,0
3,140.8546885070234,19.799999
4,80.7377324117458,2
5,133.7343908538684,18
6,87.42144705548742,1.5
7,77.00356285170099,1.5
8,133.8501565080747,17.5
9,139.8349766765771,30.5
10,134.1471881010345,30
11,84.2524804166801,5
12,76.07783589244904,.5
13,72.73183380590824,3.5
14,69.69491692936384,0
15,140.4324507104338,25.5
16,133.9352421626175,15
17,112.006584590954,6
18,73.56700128402576,0
19,133.5080561626181,37
20,109.8225470841363,12
21,134.219602535063,9.5
22,142.8493499525475,35.299999
23,137.1522826723432,12.5
24,68.66525312018275,1
25,134.0686020043791,11.5
26,80.03746729578064,.69999999
27,73.0051118926912,2
28,89.51562581535393,.60000002
29,145.1941852924757,26
30,82.77040106508025,1.5
